ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,Link
1,0534080579,CN1,BTB CONNECTOR,1,0534080579,Affinity Medical Technologies - a Molex company,Ocean-Components,0534080579,$1.63,50,https://www.ocean-components.com/product/Sullins-Connector-Solutions_SBH11-PBPC-D25-ST-BK.aspx
2,SBH11-PBPC-D25-ST-BK,U1,HDR-TH_50P-P2.54-V-F-R2-C25-S2.54-1,1,SBH11-PBPC-D25-ST-BK,Sullins Connector Solutions,Ocean-Components,SBH11-PBPC-D25-ST-BK,$0.37,50,https://www.ocean-components.com/product/Sullins-Connector-Solutions_SBH11-PBPC-D25-ST-BK.aspx
